Year,S&P 500 (includes dividends),3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond,,,
1928,43.81%,3.08%,0.84%,3.22%,,,
1929,-8.30%,3.16%,4.20%,3.02%,,"1. Calculate the average annual return, standard deviation, and Sharpe ratio for the S&P 500.",
1930,-25.12%,4.55%,4.54%,0.54%,,"2. Calculate the average annual return, standard deviation, and Sharpe ratio for the US T.Bond.",
1931,-43.84%,2.31%,-2.56%,-15.68%,,"3. Calculate the average annual return, standard deviation and Sharpe ratio for a portfolio",
1932,-8.64%,1.07%,8.79%,23.59%,,,which invests 60% in the S&P and 40% in the T.Bond
1933,49.98%,0.96%,1.86%,12.97%,,4. Create a risk parity portfolio using the S&P 500 and Baa Corporate Bond.,
1934,-1.19%,0.28%,7.96%,18.82%,,,Start in 1951 - use the prior 10 years to calculate standard deviation and use as an
1935,46.74%,0.17%,4.47%,13.31%,,,"estimate of the risk moving forward. Each year going forward, use the prior 10 years"
1936,31.94%,0.17%,5.02%,11.38%,,,as an estimate.
1937,-35.34%,0.28%,1.38%,-4.42%,,"5. Calculate the average annual return, standard deviation and Sharpe ratio for the portfolio",
1938,29.28%,0.07%,4.21%,9.24%,,,created in 4.
1939,-1.10%,0.05%,4.41%,7.98%,,,
1940,-10.67%,0.04%,5.40%,8.65%,,,
1941,-12.77%,0.13%,-2.02%,5.01%,,,
1942,19.17%,0.34%,2.29%,5.18%,,,
1943,25.06%,0.38%,2.49%,8.04%,,,
1944,19.03%,0.38%,2.58%,6.57%,,,
1945,35.82%,0.38%,3.80%,6.80%,,,
1946,-8.43%,0.38%,3.13%,2.51%,,,
1947,5.20%,0.60%,0.92%,0.26%,,,
1948,5.70%,1.05%,1.95%,3.44%,,,
1949,18.30%,1.12%,4.66%,5.38%,,,
1950,30.81%,1.20%,0.43%,4.24%,,,
1951,23.68%,1.52%,-0.30%,-0.19%,,,
1952,18.15%,1.72%,2.27%,4.44%,,,
1953,-1.21%,1.89%,4.14%,1.62%,,,
1954,52.56%,0.94%,3.29%,6.16%,,,
1955,32.60%,1.72%,-1.34%,2.04%,,,
1956,7.44%,2.62%,-2.26%,-2.35%,,,
1957,-10.46%,3.22%,6.80%,-0.72%,,,
1958,43.72%,1.77%,-2.10%,6.43%,,,
1959,12.06%,3.39%,-2.65%,1.57%,,,
1960,0.34%,2.87%,11.64%,6.66%,,,
1961,26.64%,2.35%,2.06%,5.10%,,,
1962,-8.81%,2.77%,5.69%,6.50%,,,
1963,22.61%,3.16%,1.68%,5.46%,,,
1964,16.42%,3.55%,3.73%,5.16%,,,
1965,12.40%,3.95%,0.72%,3.19%,,,
1966,-9.97%,4.86%,2.91%,-3.45%,,,
1967,23.80%,4.29%,-1.58%,0.90%,,,
1968,10.81%,5.34%,3.27%,4.85%,,,
1969,-8.24%,6.67%,-5.01%,-2.03%,,,
1970,3.56%,6.39%,16.75%,5.65%,,,
1971,14.22%,4.33%,9.79%,14.00%,,,
1972,18.76%,4.06%,2.82%,11.41%,,,
1973,-14.31%,7.04%,3.66%,4.32%,,,
1974,-25.90%,7.85%,1.99%,-4.38%,,,
1975,37.00%,5.79%,3.61%,11.05%,,,
1976,23.83%,4.98%,15.98%,19.75%,,,
1977,-6.98%,5.26%,1.29%,9.95%,,,
1978,6.51%,7.18%,-0.78%,3.14%,,,
1979,18.52%,10.05%,0.67%,-2.01%,,,
1980,31.74%,11.39%,-2.99%,-3.32%,,,
1981,-4.70%,14.04%,8.20%,8.46%,,,
1982,20.42%,10.60%,32.81%,29.05%,,,
1983,22.34%,8.62%,3.20%,16.19%,,,
1984,6.15%,9.54%,13.73%,15.62%,,,
1985,31.24%,7.47%,25.71%,23.86%,,,
1986,18.49%,5.97%,24.28%,21.35%,,,
1987,5.81%,5.78%,-4.96%,2.81%,,,
1988,16.54%,6.67%,8.22%,14.38%,,,
1989,31.48%,8.11%,17.69%,15.95%,,,
1990,-3.06%,7.50%,6.24%,6.28%,,,
1991,30.23%,5.38%,15.00%,18.93%,,,
1992,7.49%,3.43%,9.36%,11.31%,,,
1993,9.97%,3.00%,14.21%,15.47%,,,
1994,1.33%,4.25%,-8.04%,-0.97%,,,
1995,37.20%,5.49%,23.48%,21.29%,,,
1996,22.68%,5.01%,1.43%,3.42%,,,
1997,33.10%,5.06%,9.94%,12.75%,,,
1998,28.34%,4.78%,14.92%,7.63%,,,
1999,20.89%,4.64%,-8.25%,0.91%,,,
2000,-9.03%,5.82%,16.66%,9.39%,,,
2001,-11.85%,3.40%,5.57%,8.54%,,,
2002,-21.97%,1.61%,15.12%,12.14%,,,
2003,28.36%,1.01%,0.38%,12.32%,,,
2004,10.74%,1.37%,4.49%,10.35%,,,
2005,4.83%,3.15%,2.87%,5.30%,,,
2006,15.61%,4.73%,1.96%,5.20%,,,
2007,5.48%,4.36%,10.21%,4.84%,,,
2008,-36.55%,1.37%,20.10%,-3.54%,,,
2009,25.94%,0.15%,-11.12%,20.21%,,,
2010,14.82%,0.14%,8.46%,9.41%,,,
2011,2.10%,0.05%,16.04%,12.26%,,,
2012,15.89%,0.09%,2.97%,9.33%,,,
2013,32.15%,0.06%,-9.10%,-0.98%,,,
2014,13.52%,0.03%,10.75%,10.78%,,,
2015,1.38%,0.05%,1.28%,-1.50%,,,
2016,11.77%,0.32%,0.69%,11.52%,,,
2017,21.61%,0.93%,2.80%,9.23%,,,
2018,-4.23%,1.94%,-0.02%,-3.27%,,,
2019,31.21%,2.06%,9.64%,15.25%,,,
2020,18.02%,0.35%,11.33%,10.60%,,,
2021,28.47%,0.05%,-4.42%,0.93%,,,
2022,-18.04%,2.02%,-17.83%,-15.14%,,,
2023,26.06%,5.07%,3.88%,8.74%,,,